SiteID,lat,lon,datum
060651016,33.945,-116.83,WGS84
060651003,33.94603,-117.40063,WGS84
450790019,33.99151,-81.02414,WGS84
010550010,33.99375,-85.99107,WGS84
060658005,33.99564,-117.4933,WGS84
060658001,33.99958,-117.41601,WGS84
060371602,34.01194,-118.06995,WGS84
060371601,34.01407,-118.06056,WGS84
130670003,34.0154681075775,-84.6074164036121,WGS84
450630008,34.05102,-81.15495,WGS84
060371103,34.06659,-118.22688,WGS84
450790007,34.09396,-80.9623,WGS84
060712002,34.10002,-117.49201,WGS84
060719004,34.10688,-117.27411,WGS84
450791001,34.13126,-80.86832,WGS84
060372005,34.1326,-118.1272,WGS84
060370002,34.1365,-117.92391,WGS84
450410002,34.16764,-79.8504,WGS84
060371002,34.17605,-118.31712,WGS84
060371201,34.19925,-118.53276,WGS84
450470003,34.21287,-82.17315,WGS84
450410003,34.21426,-79.76735,WGS84
040070008,34.22934,-111.32942,WGS84
131150005,34.2632,-85.30483,WGS84
280810005,34.26492,-88.76622,WGS84
010491003,34.28763,-85.9683,WGS84
371290002,34.36417,-77.83861,WGS84
050510003,34.4696852971137,-93.0185893887946,WGS84
050010011,34.5184811790017,-91.5589211790017,WGS84
011030011,34.51873,-86.97694,WGS84
051130002,34.5841570811744,-94.2261952849741,WGS84
040252002,34.595,-112.331,WGS84
450250001,34.61537,-80.19879,WGS84
051191005,34.67627,-92.33716,WGS84
051191008,34.6813997399286,-92.3286330188679,WGS84
051191004,34.7294721914358,-92.243512720403,WGS84
450450016,34.75185,-82.2567,WGS84
371330005,34.77283,-77.42796,WGS84
450730001,34.80526,-83.2377,WGS84
280330002,34.82166,-89.98783,WGS84
450450008,34.83881,-82.40292,WGS84
450450015,34.8439019856887,-82.4145860286226,WGS84
450450009,34.89914,-82.31307,WGS84
401210415,34.90227,-95.78437,WGS84
450830010,34.92684,-82.00521,WGS84
370610002,34.95482,-77.96078,WGS84
450830011,34.95557,-81.9248,WGS84
370510009,35.04142,-78.95311,WGS84
350010024,35.0631,-106.57878,WGS84
050450002,35.0973223705409,-92.4131957997699,WGS84
350010023,35.1343,-106.5852,WGS84
371190042,35.15128,-80.86698,WGS84
471570075,35.1517,-89.85025,WGS84
471570047,35.1689200867052,-90.0215550433526,WGS84
050350005,35.1971030653266,-90.1925279396985,WGS84
483750320,35.20159,-101.90924,WGS84
371070004,35.23146,-77.56879,WGS84
371190041,35.2401,-80.78568,WGS84
370710016,35.25306,-81.15333,WGS84
051150003,35.27695375,-93.1207658181818,WGS84
371190043,35.3041,-80.88865,WGS84
371910005,35.36921,-77.99389,WGS84
401359021,35.40814,-94.52441,WGS84
371730002,35.43551,-83.4437,WGS84
401090035,35.47292,-97.52709,WGS84
370870010,35.48917,-82.9875,WGS84
370870012,35.50575,-82.97918,WGS84
350439011,35.5064,-106.7222,WGS84
371590021,35.55187,-80.39504,WGS84
401359015,35.58117,-94.83006,WGS84
371010002,35.59083,-78.46194,WGS84
370210034,35.6075,-82.58333,WGS84
401091037,35.61413,-97.47508,WGS84
371470006,35.63861,-77.35805,WGS84
371110004,35.6874515270936,-81.9938424794746,WGS84
370350006,35.7278,-81.3425,WGS84
371830020,35.7288,-78.6802,WGS84
370350004,35.72889,-81.36556,WGS84
400019009,35.75073,-94.6697,WGS84
370370004,35.75722,-79.15972,WGS84
470090011,35.7685120517395,-83.9421258608385,WGS84
370570003,35.77881,-80.30236,WGS84
370570002,35.81444,-80.2625,WGS84
370570004,35.84119,-80.24452,WGS84
400219002,35.85408,-94.98596,WGS84
371830014,35.85611,-78.57417,WGS84
040011235,35.88197,-109.434,WGS84
471453009,35.88982,-84.51713,WGS84
371350007,35.90194,-79.05667,WGS84
471453005,35.90257,-84.52406,WGS84
471453001,35.9049,-84.51157,WGS84
471453008,35.90712,-84.49709,WGS84
371210001,35.91528,-82.07333,WGS84
